,line,__fileposition__
120,"145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller",5486
121,"146,""Amazing Panda Adventure, The (1995)"",Adventure|Children",5542
122,"147,""Basketball Diaries, The (1995)"",Drama",5604
123,"148,""Awfully Big Adventure, An (1995)"",Drama",5648
124,"149,Amateur (1994),Crime|Drama|Thriller",5694
125,"150,Apollo 13 (1995),Adventure|Drama|IMAX",5735
126,"151,Rob Roy (1995),Action|Drama|Romance|War",5778
127,"152,""Addiction, The (1995)"",Drama|Horror",5823
128,"153,Batman Forever (1995),Action|Adventure|Comedy|Crime",5865
129,"154,Beauty of the Day (Belle de jour) (1967),Drama",5922
130,"155,Beyond Rangoon (1995),Adventure|Drama|War",5974
131,"156,Blue in the Face (1995),Comedy|Drama",6021
132,"157,Canadian Bacon (1995),Comedy|War",6063
133,"158,Casper (1995),Adventure|Children",6101
134,"159,Clockers (1995),Crime|Drama|Mystery",6139
135,"160,Congo (1995),Action|Adventure|Mystery|Sci-Fi",6180
136,"161,Crimson Tide (1995),Drama|Thriller|War",6230
137,"162,Crumb (1994),Documentary",6274
138,"163,Desperado (1995),Action|Romance|Western",6304
139,"164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller",6349
140,"165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller",6416
141,"166,""Doom Generation, The (1995)"",Comedy|Crime|Drama",6477
142,"168,First Knight (1995),Action|Drama|Romance",6531
143,"169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama",6577
144,"170,Hackers (1995),Action|Adventure|Crime|Thriller",6647
145,"171,Jeffrey (1995),Comedy|Drama",6699
146,"172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller",6732
147,"173,Judge Dredd (1995),Action|Crime|Sci-Fi",6783
148,"174,Jury Duty (1995),Comedy",6827
149,"175,Kids (1995),Drama",6856
150,"176,Living in Oblivion (1995),Comedy",6879
151,"177,Lord of Illusions (1995),Horror",6917
152,"178,Love & Human Remains (1993),Comedy|Drama",6954
153,"179,Mad Love (1995),Drama|Romance",7000
154,"180,Mallrats (1995),Comedy|Romance",7035
155,"181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children",7071
156,"183,Mute Witness (1994),Comedy|Horror|Thriller",7139
157,"184,Nadja (1994),Drama",7187
158,"185,""Net, The (1995)"",Action|Crime|Thriller",7211
159,"186,Nine Months (1995),Comedy|Romance",7256
160,"187,Party Girl (1995),Comedy",7295
161,"188,""Prophecy, The (1995)"",Fantasy|Horror|Mystery",7325
162,"189,Reckless (1995),Comedy|Fantasy",7376
163,"190,Safe (1995),Thriller",7412
164,"191,""Scarlet Letter, The (1995)"",Drama|Romance",7438
165,"193,Showgirls (1995),Drama",7486
166,"194,Smoke (1995),Comedy|Drama",7514
167,"195,Something to Talk About (1995),Comedy|Drama|Romance",7545
168,"196,Species (1995),Horror|Sci-Fi",7602
169,"198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller",7636
170,"199,""Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"",Drama|Musical|Romance",7704
171,"201,Three Wishes (1995),Drama|Fantasy",7799
172,"202,Total Eclipse (1995),Drama|Romance",7838
173,"203,""To Wong Foo, Thanks for Everything! Julie Newmar (1995)"",Comedy",7878
174,"204,Under Siege 2: Dark Territory (1995),Action",7948
175,"205,Unstrung Heroes (1995),Comedy|Drama",7997
176,"206,Unzipped (1995),Documentary",8038
177,"207,""Walk in the Clouds, A (1995)"",Drama|Romance",8071
178,"208,Waterworld (1995),Action|Adventure|Sci-Fi",8121
179,"209,White Man's Burden (1995),Drama",8168
180,"210,Wild Bill (1995),Western",8205
181,"211,""Browning Version, The (1994)"",Drama",8235
182,"212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery",8277
183,"213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama",8332
184,"214,Before the Rain (Pred dozhdot) (1994),Drama|War",8390
185,"215,Before Sunrise (1995),Drama|Romance",8443
186,"216,Billy Madison (1995),Comedy",8484
187,"217,""Babysitter, The (1995)"",Drama|Thriller",8517
188,"218,Boys on the Side (1995),Comedy|Drama",8562
189,"219,""Cure, The (1995)"",Drama",8604
190,"220,Castle Freak (1995),Horror",8634
191,"222,Circle of Friends (1995),Drama|Romance",8666
192,"223,Clerks (1994),Comedy",8710
193,"224,Don Juan DeMarco (1995),Comedy|Drama|Romance",8736
194,"225,Disclosure (1994),Drama|Thriller",8786
195,"227,Drop Zone (1994),Action|Thriller",8824
196,"228,Destiny Turns on the Radio (1995),Comedy",8862
197,"229,Death and the Maiden (1994),Drama|Thriller",8908
198,"230,Dolores Claiborne (1995),Drama|Thriller",8956
199,"231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy",9001
200,"232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance",9062
201,"233,Exotica (1994),Drama",9132
202,"234,Exit to Eden (1994),Comedy",9158
203,"235,Ed Wood (1994),Comedy|Drama",9190
204,"236,French Kiss (1995),Action|Comedy|Romance",9223
205,"237,Forget Paris (1995),Comedy|Romance",9269
206,"238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children",9309
207,"239,""Goofy Movie, A (1995)"",Animation|Children|Comedy|Romance",9384
208,"240,Hideaway (1995),Thriller",9447
209,"241,Fluke (1995),Children|Drama",9477
210,"242,Farinelli: il castrato (1994),Drama|Musical",9510
211,"243,Gordy (1995),Children|Comedy|Fantasy",9559
212,"246,Hoop Dreams (1994),Documentary",9601
213,"247,Heavenly Creatures (1994),Crime|Drama",9637
214,"248,Houseguest (1994),Comedy",9680
215,"249,Immortal Beloved (1994),Drama|Romance",9710
216,"250,Heavyweights (Heavy Weights) (1995),Children|Comedy",9753
217,"251,""Hunted, The (1995)"",Action",9810
218,"252,I.Q. (1994),Comedy|Romance",9843
219,"253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror",9875
220,"254,Jefferson in Paris (1995),Drama",9951
221,"255,""Jerky Boys, The (1995)"",Comedy",9988
222,"256,Junior (1994),Comedy|Sci-Fi",10025
223,"257,Just Cause (1995),Mystery|Thriller",10058
224,"258,""Kid in King Arthur's Court, A (1995)"",Adventure|Children|Comedy|Fantasy|Romance",10098
225,"259,Kiss of Death (1995),Crime|Drama|Thriller",10184
226,"260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi",10231
227,"261,Little Women (1994),Drama",10302
228,"262,""Little Princess, A (1995)"",Children|Drama",10333
229,"263,Ladybird Ladybird (1994),Drama",10381
230,"265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance",10417
231,"266,Legends of the Fall (1994),Drama|Romance|War|Western",10503
232,"267,Major Payne (1995),Comedy",10561
233,"269,My Crazy Life (Mi vida loca) (1993),Drama",10592
234,"270,Love Affair (1994),Drama|Romance",10639
235,"271,Losing Isaiah (1995),Drama",10677
236,"272,""Madness of King George, The (1994)"",Comedy|Drama",10709
237,"273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi",10764
238,"274,Man of the House (1995),Comedy",10839
239,"275,Mixed Nuts (1994),Comedy",10875
240,"276,Milk Money (1994),Comedy|Romance",10905
241,"277,Miracle on 34th Street (1994),Drama",10943
242,"278,Miami Rhapsody (1995),Comedy",10984
243,"279,My Family (1995),Drama",11018
244,"280,Murder in the First (1995),Drama|Thriller",11046
245,"281,Nobody's Fool (1994),Comedy|Drama|Romance",11093
246,"282,Nell (1994),Drama",11140
247,"283,New Jersey Drive (1995),Crime|Drama",11163
248,"284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime",11204
249,"285,Beyond Bedlam (1993),Drama|Horror",11264
250,"287,Nina Takes a Lover (1994),Comedy|Romance",11303
251,"288,Natural Born Killers (1994),Action|Crime|Thriller",11349
252,"289,Only You (1994),Comedy|Romance",11404
253,"290,Once Were Warriors (1994),Crime|Drama",11440
254,"291,Poison Ivy II (1996),Drama|Thriller",11483
255,"292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller",11524
256,"293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller",11574
257,"294,""Perez Family, The (1995)"",Comedy|Romance",11672
258,"295,""Pyromaniac's Love Story, A (1995)"",Comedy|Romance",11719
259,"296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller",11775
260,"298,Pushing Hands (Tui shou) (1992),Drama",11828
261,"299,Priest (1994),Drama",11871
262,"300,Quiz Show (1994),Drama",11896
263,"301,Picture Bride (Bijo photo) (1994),Drama|Romance",11924
264,"302,""Queen Margot (Reine Margot, La) (1994)"",Drama|Romance",11977
265,"303,""Quick and the Dead, The (1995)"",Action|Thriller|Western",12037
266,"304,Roommates (1995),Comedy|Drama",12099
267,"305,Ready to Wear (Pret-A-Porter) (1994),Comedy",12134
268,"306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama",12183
269,"307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama",12243
270,"308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama",12303
271,"310,Rent-a-Kid (1995),Comedy",12369
272,"311,Relative Fear (1994),Horror|Thriller",12399
273,"312,Stuart Saves His Family (1995),Comedy",12441
274,"313,""Swan Princess, The (1994)"",Animation|Children",12484
275,"314,""Secret of Roan Inish, The (1994)"",Children|Drama|Fantasy|Mystery",12536
276,"315,""Specialist, The (1994)"",Action|Drama|Thriller",12607
277,"316,Stargate (1994),Action|Adventure|Sci-Fi",12659
278,"317,""Santa Clause, The (1994)"",Comedy|Drama|Fantasy",12704
279,"318,""Shawshank Redemption, The (1994)"",Crime|Drama",12757
280,"319,Shallow Grave (1994),Comedy|Drama|Thriller",12809
281,"320,Suture (1993),Film-Noir|Thriller",12857
282,"321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama",12895
283,"322,Swimming with Sharks (1995),Comedy|Drama",12958
284,"324,""Sum of Us, The (1994)"",Comedy|Drama",13004
285,"325,National Lampoon's Senior Trip (1995),Comedy",13046
286,"326,To Live (Huozhe) (1994),Drama",13096
287,"327,Tank Girl (1995),Action|Comedy|Sci-Fi",13131
288,"328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller",13174
289,"329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi",13246
290,"330,Tales from the Hood (1995),Action|Crime|Horror",13304
291,"331,Tom & Viv (1994),Drama",13356
292,"332,Village of the Damned (1995),Horror|Sci-Fi",13384
293,"333,Tommy Boy (1995),Comedy",13432
294,"334,Vanya on 42nd Street (1994),Drama",13461
295,"335,Underneath (1995),Mystery|Thriller",13500
296,"336,""Walking Dead, The (1995)"",Drama|War",13540
297,"337,What's Eating Gilbert Grape (1993),Drama",13582
298,"338,Virtuosity (1995),Action|Sci-Fi|Thriller",13628
299,"339,While You Were Sleeping (1995),Comedy|Romance",13674
300,"340,""War, The (1994)"",Adventure|Drama|War",13725
301,"341,Double Happiness (1994),Drama",13768
302,"342,Muriel's Wedding (1994),Comedy",13803
303,"343,""Baby-Sitters Club, The (1995)"",Children",13839
304,"344,Ace Ventura: Pet Detective (1994),Comedy",13885
305,"345,""Adventures of Priscilla, Queen of the Desert, The (1994)"",Comedy|Drama",13931
306,"346,Backbeat (1993),Drama|Musical",14008
307,"347,Bitter Moon (1992),Drama|Film-Noir|Romance",14043
308,"348,Bullets Over Broadway (1994),Comedy",14091
309,"349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller",14132
310,"350,""Client, The (1994)"",Drama|Mystery|Thriller",14197
311,"351,""Corrina, Corrina (1994)"",Comedy|Drama|Romance",14246
312,"352,Crooklyn (1994),Comedy|Drama",14298
313,"353,""Crow, The (1994)"",Action|Crime|Fantasy|Thriller",14332
314,"354,Cobb (1994),Drama",14386
315,"355,""Flintstones, The (1994)"",Children|Comedy|Fantasy",14409
316,"356,Forrest Gump (1994),Comedy|Drama|Romance|War",14464
317,"357,Four Weddings and a Funeral (1994),Comedy|Romance",14514
318,"358,Higher Learning (1995),Drama",14569
319,"359,I Like It Like That (1994),Comedy|Drama|Romance",14603
320,"360,I Love Trouble (1994),Action|Comedy",14656
321,"361,It Could Happen to You (1994),Comedy|Drama|Romance",14697
322,"362,""Jungle Book, The (1994)"",Adventure|Children|Romance",14753
323,"363,""Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"",Documentary",14811
324,"364,""Lion King, The (1994)"",Adventure|Animation|Children|Drama|Musical|IMAX",14929
325,"365,Little Buddha (1993),Drama",15006
326,"366,""Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"",Drama|Horror|Mystery|Thriller",15038
327,"367,""Mask, The (1994)"",Action|Comedy|Crime|Fantasy",15162
328,"368,Maverick (1994),Adventure|Comedy|Western",15214
329,"369,Mrs. Parker and the Vicious Circle (1994),Drama",15260
330,"370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy",15313
331,"371,""Paper, The (1994)"",Comedy|Drama",15374
332,"372,Reality Bites (1994),Comedy|Drama|Romance",15412
333,"373,Red Rock West (1992),Thriller",15459
334,"374,Richie Rich (1994),Children|Comedy",15494
335,"376,""River Wild, The (1994)"",Action|Thriller",15534
336,"377,Speed (1994),Action|Romance|Thriller",15580
337,"378,Speechless (1994),Comedy|Romance",15622
338,"379,Timecop (1994),Action|Sci-Fi|Thriller",15660
339,"380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller",15703
340,"381,When a Man Loves a Woman (1994),Drama|Romance",15766
341,"382,Wolf (1994),Drama|Horror|Romance|Thriller",15817
342,"383,Wyatt Earp (1994),Western",15864
343,"384,Bad Company (1995),Action|Crime|Drama",15895
344,"385,""Man of No Importance, A (1994)"",Drama",15938
345,"386,S.F.W. (1994),Drama",15982
346,"387,""Low Down Dirty Shame, A (1994)"",Action|Comedy",16007
347,"388,Boys Life (1995),Drama",16059
348,"389,""Colonel Chabert, Le (1994)"",Drama|Romance|War",16087
349,"390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama",16139
350,"391,Jason's Lyric (1994),Crime|Drama",16199
351,"393,Street Fighter (1994),Action|Adventure|Fantasy",16237
352,"405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy",16289
353,"406,Federal Hill (1994),Drama",16386
354,"407,In the Mouth of Madness (1995),Horror|Thriller",16417
355,"408,8 Seconds (1994),Drama",16469
356,"409,Above the Rim (1994),Crime|Drama",16497
357,"410,Addams Family Values (1993),Children|Comedy|Fantasy",16535
358,"412,""Age of Innocence, The (1993)"",Drama",16592
359,"413,Airheads (1994),Comedy",16634
360,"414,""Air Up There, The (1994)"",Comedy",16662
361,"415,Another Stakeout (1993),Comedy|Thriller",16701
362,"416,Bad Girls (1994),Western",16746
363,"417,Barcelona (1994),Comedy|Romance",16776
364,"418,Being Human (1993),Drama",16813
365,"419,""Beverly Hillbillies, The (1993)"",Comedy",16843
366,"420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller",16889
367,"421,Black Beauty (1994),Adventure|Children|Drama",16952
368,"422,Blink (1994),Thriller",17002
369,"423,Blown Away (1994),Action|Thriller",17029
370,"424,Blue Chips (1994),Drama",17068
371,"425,Blue Sky (1994),Drama|Romance",17097
372,"426,Body Snatchers (1993),Horror|Sci-Fi|Thriller",17132
373,"427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller",17182
374,"428,""Bronx Tale, A (1993)"",Drama",17239
375,"429,Cabin Boy (1994),Comedy",17273
376,"430,Calendar Girl (1993),Comedy|Drama",17302
377,"431,Carlito's Way (1993),Crime|Drama",17341
378,"432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western",17379
379,"433,Clean Slate (1994),Comedy",17461
380,"434,Cliffhanger (1993),Action|Adventure|Thriller",17492
381,"435,Coneheads (1993),Comedy|Sci-Fi",17542
382,"436,Color of Night (1994),Drama|Thriller",17578
383,"437,Cops and Robbersons (1994),Comedy",17620
384,"438,""Cowboy Way, The (1994)"",Action|Comedy|Drama",17659
385,"440,Dave (1993),Comedy|Romance",17709
386,"441,Dazed and Confused (1993),Comedy",17741
387,"442,Demolition Man (1993),Action|Adventure|Sci-Fi",17779
388,"444,Even Cowgirls Get the Blues (1993),Comedy|Romance",17830
389,"445,Fatal Instinct (1993),Comedy",17885
390,"446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance",17919
391,"448,Fearless (1993),Drama",17984
392,"449,Fear of a Black Hat (1994),Comedy",18011
393,"450,With Honors (1994),Comedy|Drama",18050
394,"451,Flesh and Bone (1993),Drama|Mystery|Romance",18087
395,"452,Widows' Peak (1994),Drama",18136
396,"453,For Love or Money (1993),Comedy|Romance",18167
397,"454,""Firm, The (1993)"",Drama|Thriller",18212
398,"455,Free Willy (1993),Adventure|Children|Drama",18251
399,"456,Fresh (1994),Crime|Drama|Thriller",18299
400,"457,""Fugitive, The (1993)"",Thriller",18338
401,"458,Geronimo: An American Legend (1993),Drama|Western",18375
402,"459,""Getaway, The (1994)"",Action|Adventure|Crime|Drama|Romance|Thriller",18430
403,"460,Getting Even with Dad (1994),Comedy",18503
404,"461,Go Fish (1994),Drama|Romance",18544
405,"464,Hard Target (1993),Action|Adventure|Crime|Thriller",18578
406,"466,Hot Shots! Part Deux (1993),Action|Comedy|War",18634
407,"467,Live Nude Girls (1995),Comedy",18685
408,"468,""Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"",Comedy|Romance",18720
409,"469,""House of the Spirits, The (1993)"",Drama|Romance",18809
410,"470,House Party 3 (1994),Comedy",18863
411,"471,""Hudsucker Proxy, The (1994)"",Comedy",18896
412,"472,I'll Do Anything (1994),Comedy|Drama",18938
413,"473,In the Army Now (1994),Comedy|War",18980
414,"474,In the Line of Fire (1993),Action|Thriller",19019
415,"475,In the Name of the Father (1993),Drama",19067
416,"476,""Inkwell, The (1994)"",Comedy|Drama",19111
417,"477,What's Love Got to Do with It? (1993),Drama|Musical",19151
418,"478,Jimmy Hollywood (1994),Comedy|Crime|Drama",19208
419,"479,Judgment Night (1993),Action|Crime|Thriller",19255
420,"480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller",19304
421,"481,Kalifornia (1993),Drama|Thriller",19363
422,"482,Killing Zoe (1994),Crime|Drama|Thriller",19401
423,"484,Lassie (1994),Adventure|Children",19446
424,"485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy",19484
425,"486,Life with Mikey (1993),Comedy",19545
426,"487,Lightning Jack (1994),Comedy|Western",19580
427,"488,M. Butterfly (1993),Drama|Romance",19622
428,"489,Made in America (1993),Comedy",19661
429,"490,Malice (1993),Thriller",19696
430,"491,""Man Without a Face, The (1993)"",Drama",19724
431,"492,Manhattan Murder Mystery (1993),Comedy|Mystery",19768
432,"493,Menace II Society (1993),Action|Crime|Drama",19820
433,"494,Executive Decision (1996),Action|Adventure|Thriller",19869
434,"495,In the Realm of the Senses (Ai no corrida) (1976),Drama",19926
435,"496,What Happened Was... (1994),Comedy|Drama|Romance|Thriller",19987
436,"497,Much Ado About Nothing (1993),Comedy|Romance",20050
437,"499,Mr. Wonderful (1993),Comedy|Romance",20100
438,"500,Mrs. Doubtfire (1993),Comedy|Drama",20141
439,"501,Naked (1993),Drama",20181
440,"502,""Next Karate Kid, The (1994)"",Action|Children|Romance",20205
441,"504,No Escape (1994),Action|Drama|Sci-Fi",20264
442,"505,North (1994),Comedy",20306
443,"506,Orlando (1992),Drama|Fantasy|Romance",20331
444,"507,""Perfect World, A (1993)"",Crime|Drama|Thriller",20373
445,"508,Philadelphia (1993),Drama",20425
446,"509,""Piano, The (1993)"",Drama|Romance",20456
447,"510,Poetic Justice (1993),Drama",20495
448,"511,""Program, The (1993)"",Action|Drama",20528
449,"512,""Puppet Masters, The (1994)"",Horror|Sci-Fi",20568
450,"513,Radioland Murders (1994),Comedy|Mystery|Romance",20616
451,"514,""Ref, The (1994)"",Comedy",20669
452,"515,""Remains of the Day, The (1993)"",Drama|Romance",20699
453,"516,Renaissance Man (1994),Comedy|Drama",20751
454,"517,Rising Sun (1993),Action|Drama|Mystery",20792
455,"518,""Road to Wellville, The (1994)"",Comedy",20836
456,"519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller",20880
457,"520,Robin Hood: Men in Tights (1993),Comedy",20937
458,"521,Romeo Is Bleeding (1993),Crime|Thriller",20982
459,"522,Romper Stomper (1992),Action|Drama",21027
